Symbol;Security name;ISIN;Issuer;Fiscal / Unique Code;Shares;Face value;CAEN Code;District;Country;Exchange segment;Main Market;Tier;Status;Trading Model Type;Price steps list
POTI;POTIS CAPITAL SA CLUJ-NAPOCA;ROPOTIACNOR0;POTIS CAPITAL SA CLUJ-NAPOCA;26195097;1030000;0.1000;7022;CLUJ;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
PPLI;PROFFESSIONAL IMO PARTNERS S.A.;ROPPLIACNOR4;PROFESSIONAL IMO PARTNERS S.A.;24599480;77363547;1.0000;4110;BUCURESTI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
PRAE;PRODLACTA SA Brasov;ROPRAEACNOR2;PRODLACTA SA Brasov;1112568;57033974;1.1000;1051;BRASOV;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
PRAH;PRAHOVA ESTIVAL 2002 SA NEPTUN;ROPRAHACNOR5;PRAHOVA ESTIVAL 2002 SA NEPTUN;14662490;3252029;0.1000;5510;CONSTANTA;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
PRBU;PRACTIC SA Bucuresti;ROPRBUACNOR6;PRACTIC SA Bucuresti;2774512;593959;69.0000;6820;BUCURESTI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
PRDI;PRODHART SA IASI;ROPRDIACNOR7;PRODHART SA IASI;5828528;21055160;0.1000;6820;IASI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
PRIB;PRIMCOM SA BUCURESTI;ROPRIBACNOR1;PRIMCOM SA BUCURESTI;1584200;1450306;0.1000;6820;BUCURESTI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
PRIN;PROIECT COVASNA SA SFANTU GHEORGHE;ROPRINACNOR6;PROIECT COVASNA SA SFANTU GHEORGHE;547696;590800;0.1600;7112;COVASNA;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
PRMT;DAN STEEL GROUP BECLEAN SA BECLEAN;ROPRMTACNOR5;DAN STEEL GROUP BECLEAN SA BECLEAN;573652;1402987;2.5000;2410;BISTRITA-NASAUD;RO;ATS;XRS1;AeRO Standard;Suspended;Continuous trading;shareM1
PRSN;PROSPECTIUNI SA BUCURESTI;ROPRSNACNOR5;PROSPECTIUNI SA BUCURESTI;1552801;718048725;0.1000;7112;BUCURESTI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
PTRC;PETROCART SA PIATRA NEAMT;ROPTRCACNOR6;PETROCART SA PIATRA NEAMT;2046136;39275892;0.5000;1712;NEAMT;RO;ATS;XRS1;AeRO Standard;Suspended;Continuous trading;shareM1
PVBS;FIDES CAPITAL SA;ROPVBSACNOR2;FIDES CAPITAL S.A. BUCURESTI;23126076;1140572;0.1000;7022;BUCURESTI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
RANT;GRANITUL SA BUCURESTI;RORANTACNOR5;GRANITUL SA BUCURESTI;736;2244769;5.4600;6820;BUCURESTI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
RCHI;COMPANIA HOTELIERA INTERCONTINENTAL ROMANIA SA BUCURESTI;ROCHIOACNOR3;COMPANIA HOTELIERA INTERCONTINENTAL ROMANIA SA BUCURESTI;9019856;833543100;0.1000;5510;Bucuresti;RO;ATS;XRS1;AeRO Premium;Tradeable;Continuous trading;shareM1
REFE;REMARUL 16 FEBRUARIE SA CLUJ NAPOCA;ROREFEACNOR5;REMARUL 16 FEBRUARIE SA CLUJ NAPOCA;201373;2045203;2.5000;3020;CLUJ;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
REGL;REGAL SA GALATI;ROREGLACNOR8;REGAL SA GALATI;1647588;1200000;0.1000;5610;GALATI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
RELE;RELEE SA MEDIAS;RORELEACNOR3;RELEE SA MEDIAS;807150;541503;2.5000;2712;SIBIU;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
REMM;REMAT MARAMURES SA BAIA MARE;ROREMMACNOR4;REMAT MARAMURES SA BAIA MARE;2204775;307072;3.7300;3832;MARAMURES;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
RETZ;RETEZAT SA SIBIU;RORETZACNOR1;RETEZAT SA SIBIU;787311;1357823;2.5000;2830;SIBIU;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
REVA;REVA SA SIMERIA;ROREVAACNOR0;REVA SA SIMERIA;2150217;1492185;2.5000;3020;HUNEDOARA;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
ROOF;ROMANOFIR SA TALMACIU;ROROOFACNOR3;ROMANOFIR SA TALMACIU;816263;510191;2.5000;1310;SIBIU;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
RORX;ROMAERO SA BUCURESTI;RORORXACNOR9;ROMAERO SA BUCURESTI;1576401;6947577;2.5000;3030;BUCURESTI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
ROSV;ROSAR SA RADAUTI;ROROSVACNOR1;ROSAR SA RADAUTI;9572642;1385634;2.5000;2573;SUCEAVA;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
RRD;ROMRADIATOARE S.A.;RORRDBACNOR8;ROMRADIATOARE S.A.;1108834;15000000;1.6300;2932;BRASOV;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
SAP;SAP SE;DE0007164600;SAP SE;HRB 350269;1228504232;-;-;-;DE;ATS;XRSI;Intl-MTS;Tradeable;Continuous trading;shareM6
SATU;SATURN SA ALBA IULIA;ROSATUACNOR8;SATURN SA ALBA IULIA;1750957;1978081;2.5000;2451;ALBA;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
SCBC;SCUT SA BACAU;ROSCBCACNOR0;SCUT SA BACAU;955342;221013;2.5000;4399;BACAU;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
SCDM;UNIREA SHOPPING CENTER SA Bucuresti;ROSCDMACNOR5;UNIREA SHOPPING CENTER SA Bucuresti;328521;2749390;2.5000;6820;BUCURESTI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
SCTB;SCT SA BUCURESTI;ROSCTBACNOR4;SCT SA BUCURESTI;949;7850887;2.5000;4211;BUCURESTI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
SEBZ;SEMBRAZ SA SIBIU;ROSEBZACNOR7;SEMBRAZ SA SIBIU;790619;791377;2.0000;2830;SIBIU;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
SECE;SERVICE NEPTUN 2002 SA NEPTUN;ROSECEACNOR0;SERVICE NEPTUN 2002 SA NEPTUN;14686600;9111701;0.1000;9601;CONSTANTA;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
SELC;SELCA SA PITESTI;ROSELCACNOR5;SELCA SA PITESTI;128299;44507434;0.1000;4120;ARGES;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
SEOL;SEMROM OLTENIA SA CRAIOVA;ROSEOLACNOR0;SEMROM OLTENIA SA CRAIOVA;10610146;11164256;0.1000;0111;DOLJ;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
SEOM;GERMINA AGRIBUSINESS SA BUCURESTI;ROSEOMACNOR8;GERMINA AGRIBUSINESS S.A.;351290;13509092;2.5000;4621;BUCURESTI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
SERC;SERICO SA BUCURESTI;ROSERCACNOR2;SERICO SA BUCURESTI;906;38611403;0.1000;6820;BUCURESTI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
SEVE;SEVERNAV SA DR. TR. SEVERIN;ROSEVEACNOR0;SEVERNAV SA DR. TR. SEVERIN;1606030;5041546;2.5000;3011;MEHEDINTI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
SIDG;ARCELORMITTAL HUNEDOARA SA;ROSIDGACNOR4;ARCELORMITTAL HUNEDOARA SA;2126855;198566228;1.2500;2410;HUNEDOARA;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
SIE;SIEMENS AG ;DE0007236101;Siemens AG;HRB 6684;850000000;-;-;-;DE;ATS;XRSI;Intl-MTS;Tradeable;Continuous trading;shareM6
SIEP;SINTER REF SA AZUGA;ROSIEPACNOR3;SINTER REF SA AZUGA;1315333;4074286;2.5000;2320;PRAHOVA;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
SIFI;SIF Imobiliare PLC;CY0104062217;SIF Imobiliare PLC;HE 323682;4499974;-;-;-;CY;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
SIGS;SIGSTRAT SA SIGHETU MARMATIEI;ROSIGSACNOR2;SIGSTRAT SA SIGHETU MARMATIEI;2954386;23250770;0.1000;1621;MARAMURES;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
SINA;SINATEX SA BUCURESTI;ROSINAACNOR6;SINATEX SA BUCURESTI;574;504283;2.5000;1320;BUCURESTI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
SINT;SINTOFARM SA BUCURESTI;ROSINTACNOR6;SINTOFARM SA BUCURESTI;647;3860764;2.5000;2120;BUCURESTI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
SIOB;SIMBETON SA ORADEA;ROSIOBACNOR2;SIMBETON SA ORADEA;13704180;36742005;0.1000;2361;BIHOR;RO;ATS;XRS1;AeRO Standard;Suspended;Continuous trading;shareM1
SIRJ;SIRAJ AD IMPEX SA IASI;ROSIRJACNOR8;SIRAJ AD IMPEX SA IASI;6307269;58230590;0.1000;1091;IASI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
SIRM;SINTEROM SA Cluj;ROSIRMACNOR2;SINTEROM SA Cluj;202123;4841793;2.5000;2550;CLUJ;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
SLBB;SUPORT LOGISTIC BUCURESTI SA;ROSLBBACNOR3;SUPORT LOGISTIC BUCURESTI SA;4019375;88795;2.5000;8010;BUCURESTI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
SNC;SANTIERUL NAVAL CONSTANTA S.A.;ROSANTACNOR3;SANTIERUL NAVAL CONSTANTA S.A.;1879871;64997704;2.5000;3011;CONSTANTA;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
SOMB;IFMA SA;ROSOMBACNOR4;IFMA SA BUCURESTI;448269;28883228;0.1000;2822;Ilfov;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
SOMR;SOMETRA SA COPSA MICA;ROSOMRACNOR0;SOMETRA SA COPSA MICA;813526;26577146;2.5000;2443;SIBIU;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
SOPL;SOMPLAST SA NASAUD;ROSOPLACNOR6;SOMPLAST SA NASAUD;575688;3255326;2.5000;2221;BISTRITA-NASAUD;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
SOTA;SOMETA SA TASNAD;ROSOTAACNOR1;SOMETA SA TASNAD;643898;3592492;0.1000;2529;SATU-MARE;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
SPTU;SPIT BUCOVINA SA SUCEAVA;ROSPTUACNOR6;S.P.I.T. BUCOVINA SA SUCEAVA;728129;5945907;1.0000;2932;SUCEAVA;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
STNM;SANTIERUL NAVAL 2 MAI SA MANGALIA;ROSTNMACNOR8;SANTIERUL NAVAL 2 MAI SA MANGALIA;2413593;6672645;2.5000;8299;CONSTANTA;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
STOF;STOFE SA BUHUSI;ROSTOFACNOR0;STOFE SA BUHUSI;962838;1985873;2.5000;1320;BACAU;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
STOZ;STICLOVAL SA VALENII DE MUNTE;ROSTOZACNOR8;STICLOVAL SA VALENII DE MUNTE;1336115;2531891;2.5000;0899;PRAHOVA;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
TALD;TALC DOLOMITA SA HUNEDOARA;ROTALDACNOR9;TALC DOLOMITA SA HUNEDOARA;6936633;2116804;2.5000;0811;HUNEDOARA;RO;ATS;XRS1;AeRO Standard;Suspended;Continuous trading;shareM1
TERA;TERRA ESTIVAL 2002 SA NEPTUN;ROTEREACNOR6;TERRA ESTIVAL 2002 SA NEPTUN;14681590;10713804;0.1000;5510;CONSTANTA;RO;ATS;XRS1;AeRO Standard;Suspended;Continuous trading;shareM1
TIGH;TARNAVA SA SIGHISOARA;ROTIGHACNOR3;TARNAVA SA SIGHISOARA;1228504;5369067;0.3000;1413;MURES;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
TRAM;TRAMECO SA ORADEA;ROTRAMACNOR7;TRAMECO SA ORADEA;71559;933609;2.5000;4941;BIHOR;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
TRCE;UNITRANS SA TATARANI ;ROTRCEACNOR0;UNITRANS SA TATARANI;1304172;298020;2.5000;4719;PRAHOVA;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
TRCS;TRANSTEC SA TECUCI;ROTRCSACNOR0;TRANSTEC SA TECUCI;1632935;698740;2.5000;4941;GALATI;RO;ATS;XRS1;AeRO Standard;Suspended;Continuous trading;shareM1
TRGI;TRANSPORTURI AUTO GIULESTI SA BUCURESTI;ROTRGIACNOR2;TRANSPORTURI AUTO GIULESTI SA BUCURESTI;455673;178520;2.5000;4941;BUCURESTI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
TRNG;TRANSGEX SA ORADEA;ROTRNGACNOR2;TRANSGEX SA ORADEA;202255;5324562;2.5000;7112;BIHOR;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
TRSB;TRANSCOM SA SIBIU;ROTRSBACNOR2;TRANSCOM SA SIBIU;2469306;113879432;0.1000;4520;SIBIU;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
TRSK;TRANSILANA SA GHIMBAV;ROTRSKACNOR3;TRANSILANA SA GHIMBAV;1132417;48755128;0.1000;1310;BRASOV;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
TRVC;TRANSILVANIA-COM SA MEDIAS;ROTRVCACNOR4;TRANSILVANIA-COM SA MEDIAS;804161;193087;2.5000;6820;SIBIU;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
TRVM;TRANSCOM SA BUCURESTI;ROTRVMACNOR3;TRANSCOM SA BUCURESTI;1574478;11698222;0.1000;4941;BUCURESTI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
TSLA;TRANSILVANIA LEASING  SI CREDIT IFN SA BRASOV;ROTSLAACNOR7;TRANSILVANIA LEASING SI CREDIT IFN SA BRASOV;9845734;515690000;0.1000;6491;BRASOV;RO;ATS;XRS1;AeRO Premium;Tradeable;Continuous trading;shareM1
TSND;TUSNAD SA BAILE TUSNAD;ROTSNDACNOR7;TUSNAD SA BAILE TUSNAD;4241753;301802818;0.1000;5510;HARGHITA;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
TUAA;TURISM COVASNA SA COVASNA;ROTUAAACNOR6;TURISM COVASNA SA COVASNA;559747;471208433;0.1000;5510;COVASNA;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
TUAA1;TURISM COVASNA SA COVASNA - actiuni preferentiale, cu dividend prioritar, fara drept vot;ROTUAAACNPR3;TURISM COVASNA SA COVASNA;559747;9044000;0.1000;5510;COVASNA;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
UARG;ARGUS SA Constanta;ROUARGACNOR7;ARGUS SA Constanta;1872644;35780466;1.5000;1041;CONSTANTA;RO;ATS;XRS1;AeRO Premium;Tradeable;Continuous trading;shareM1
UCET;CLABUCET ESTIVAL 2002 SA NEPTUN;ROUCETACNOR4;CLABUCET ESTIVAL 2002 SA NEPTUN;14686562;2813310;0.1000;5510;CONSTANTA;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
UNIR;UNIREA SA CLUJ NAPOCA;ROUNIRACNOR6;UNIREA SA CLUJ NAPOCA;199940;4045070;2.5000;2841;CLUJ;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
UNISEM;UNISEM SA BUCURESTI;ROUNIEACNOR4;UNISEM SA BUCURESTI;302;78926129;0.1000;4621;BUCURESTI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
UNIT;SIFI UNITEH SA BUCURESTI;ROUNITACNOR2;SIFI UNITEH SA BUCURESTI;1800966;436360;2.5000;6820;BUCURESTI;RO;ATS;XRS1;AeRO Standard;Suspended;Continuous trading;shareM1
UNP;UNIPER S.E.;DE000UNSE018;UNIPER S.E.;HRB77425;365960000;-;-;-;DE;ATS;XRSI;Intl-MTS;Tradeable;Continuous trading;shareM4
UNVR;UNIVERS SA Rm. Valcea;ROUNVRACNOR9;UNIVERS SA Rm. Valcea;1469006;796642;2.5000;4711;VALCEA;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
UPET;UPET SA TARGOVISTE;ROUPETACNOR6;UPET SA TARGOVISTE;908332;11948356;2.5000;2892;DAMBOVITA;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
UPRR;UPRUC CTR SA FAGARAS;ROUPRRACNOR2;UPRUC CTR SA FAGARAS;12527609;1326626;2.5000;2420;BRASOV;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
URBA;URBANA SA BISTRITA;ROURBAACNOR8;URBANA SA BISTRITA;563934;79648;9.2000;3811;BISTRITA-NASAUD;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
URCB;URC SA VASCAU;ROURCBACNOR4;URC SA VASCAU;2400615;1635300;0.1000;2511;BIHOR;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
URUL;URB RULMENTI SA SUCEAVA;ROURULACNOR5;URB RULMENTI SA SUCEAVA;717936;11276124;1.0500;2815;SUCEAVA;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
UTGR;UTILAJ GREU SA MURFATLAR;ROUTGRACNOR7;UTILAJ GREU SA MURFATLAR;2410198;676587;2.5000;6820;CONSTANTA;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
UZC;UZUC S.A.;ROUZUCACNOR7;UZUC S.A.;1343554;4752105;2.5000;2899;PRAHOVA;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
UZIN;UZINEXPORT SA BUCURESTI;ROUZINACNOR9;UZINEXPORT SA BUCURESTI;324821;14693750;0.1000;4619;BUCURESTI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
VAC;PRODVINALCO S.A.;ROPROCACNOR7;PRODVINALCO S.A.;199222;31495034;0.1000;1101;CLUJ;RO;ATS;XRS1;AeRO Premium;Tradeable;Continuous trading;shareM1
VIAG;VINALCOOL ARGES SA PITESTI;ROVIAGACNOR4;VINALCOOL ARGES SA PITESTI;128620;22215256;0.1000;1084;ARGES;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
VIRO;VIROLA - INDEPENDENTA SA SIBIU;ROVIROACNOR2;VIROLA - INDEPENDENTA SA SIBIU;23058320;138592;2.5000;6820;SIBIU;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
VITK;VITIMAS SA TECUCI;ROVITKACNOR6;VITIMAS SA TECUCI;1636171;710848;2.5000;2511;GALATI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
