Symbol;Security name;ISIN;Issuer;Fiscal / Unique Code;Shares;Face value;CAEN Code;District;Country;Exchange segment;Main Market;Tier;Status;Trading Model Type;Price steps list
EPN;EMA PIATRA NEAMT S.A.;ROEMANACNOR8;EMA PIATRA NEAMT S.A.;2048307;7117950;0.1000;1439;NEAMT;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
EXPV;EXPLOATARE PORTUARA DROBETA SA ORSOVA;ROEXPVACNOR6;EXPLOATARE PORTUARA DROBETA SA ORSOVA;1605558;590583;2.5000;5224;MEHEDINTI;RO;ATS;XRS1;AeRO Standard;Suspended;Continuous trading;shareM1
FACY;FABRICA DE SCULE RASNOV SA;ROFACYACNOR3;FABRICA DE SCULE RASNOV SA;1121175;5650039;2.5000;2573;BRASOV;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
FAMS;FAMOS SA ODORHEIU SECUIESC;ROFAMSACNOR4;FAMOS SA ODORHEIU SECUIESC;523816;527097;2.5000;3109;HARGHITA;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
FAMZ;FAM SA GALATI;ROFAMZACNOR9;FAM SA GALATI;1625555;463427;6.3000;2599;GALATI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
FEP;FEPER;ROFEBVACNOR3;FEPER;752;363782186;0.1000;2620;BUCURESTI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
FERO;IAMBA ARAD S.A. ARAD;ROFEROACNOR4;IAMBA ARAD S.A. ARAD;1709257;33818014;0.1000;2572;ARAD;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
FIMA;FIMARO SA Cluj;ROFIMAACNOR5;FIMARO SA Cluj;199133;814155;1.6300;2511;CLUJ;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
FIMR;FIRM RECOM SA BUCURESTI;ROFIMRACNOR9;FIRM RECOM SA BUCURESTI;404262;2253892;0.1000;2229;BUCURESTI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
FLAO;FLAROS SA BUCURESTI;ROFLAOACNOR5;FLAROS SA BUCURESTI;350944;1521366;2.5000;1520;BUCURESTI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
FMAR;FAIMAR SA BAIA MARE;ROFMARACNOR6;FAIMAR SA BAIA MARE;2943069;41868065;0.1000;2341;MARAMURES;RO;ATS;XRS1;AeRO Standard;Suspended;Continuous trading;shareM1
